"""","紀の川市","岩出市","紀美野町","かつらぎ町","九度山町","高野町","湯浅町","広川町"
"平成25年度(2013年度)総数(両)","24324.0","17964.0","3598.0","6503.0","1505.0","1266.0","4358.0","2614.0"
"  登録車両_自家用(両)","23269.0","17614.0","3496.0","6228.0","1476.0","1225.0","4250.0","2540.0"
"  登録車両_営業用(両)","1055.0","350.0","102.0","275.0","29.0","41.0","108.0","74.0"
"","","","","","","","",""
"平成26年度(2014年度)総数(両)","23952.0","17782.0","3493.0","6384.0","1463.0","1240.0","4327.0","2565.0"
"  登録車両_自家用(両)","22901.0","17412.0","3389.0","6099.0","1433.0","1198.0","4210.0","2495.0"
"  登録車両_営業用(両)","1051.0","370.0","104.0","285.0","30.0","42.0","117.0","70.0"
"","","","","","","","",""
"トラック   計(両)","3398.0","1447.0","491.0","876.0","173.0","137.0","720.0","466.0"
"トラック_自家用(両)","2613.0","1175.0","455.0","735.0","143.0","134.0","670.0","418.0"
"トラック_営業用(両)","785.0","272.0","36.0","141.0","30.0","3.0","50.0","48.0"
"","","","","","","","",""
"トラック_普通車 計(両)","1546.0","514.0","164.0","378.0","82.0","59.0","147.0","102.0"
"トラック_普通車_自家用(両)","854.0","273.0","131.0","265.0","53.0","57.0","116.0","71.0"
"トラック_普通車_営業用(両)","692.0","241.0","33.0","113.0","29.0","2.0","31.0","31.0"
"","","","","","","","",""
"トラック_小型車 計(両)","1803.0","924.0","327.0","482.0","87.0","78.0","567.0","359.0"
"トラック_小型車_自家用(両)","1756.0","900.0","324.0","466.0","87.0","77.0","554.0","347.0"
"トラック_小型車_営業用(両)","47.0","24.0","3.0","16.0","0.0","1.0","13.0","12.0"
"","","","","","","","",""
"トラック_ﾄﾚ-ﾗ-  計(両)","49.0","9.0","0.0","16.0","4.0","0.0","6.0","5.0"
"トラック_ﾄﾚｰﾗｰ_自家用(両)","3.0","2.0","0.0","4.0","3.0","0.0","0.0","0.0"
"トラック_ﾄﾚｰﾗｰ_営業用(両)","46.0","7.0","0.0","12.0","1.0","0.0","6.0","5.0"
"","","","","","","","",""
"バス計(両)","110.0","73.0","61.0","56.0","2.0","35.0","19.0","14.0"
"バス_自家用(両)","63.0","55.0","12.0","37.0","2.0","16.0","11.0","14.0"
"バス_営業用(両)","47.0","18.0","49.0","19.0","0.0","19.0","8.0","0.0"
"","","","","","","","",""
"バス_普通車 計(両)","35.0","12.0","19.0","9.0","0.0","18.0","2.0","5.0"
"バス_普通車_自家用(両)","5.0","8.0","0.0","3.0","0.0","0.0","0.0","5.0"
"バス_普通車_営業用(両)","30.0","4.0","19.0","6.0","0.0","18.0","2.0","0.0"
"","","","","","","","",""
"バス_小型車 計(両)","75.0","61.0","42.0","47.0","2.0","17.0","17.0","9.0"
"バス_小型車_自家用(両)","58.0","47.0","12.0","34.0","2.0","16.0","11.0","9.0"
"バス_小型車_営業用(両)","17.0","14.0","30.0","13.0","0.0","1.0","6.0","0.0"
"","","","","","","","",""
"乗用車    計(両)","19680.0","15923.0","2823.0","5093.0","1251.0","1005.0","3372.0","1947.0"
"乗用車_自家用(両)","19661.0","15876.0","2812.0","5076.0","1251.0","989.0","3344.0","1947.0"
"乗用車_営業用(両)","19.0","47.0","11.0","17.0","0.0","16.0","28.0","0.0"
"","","","","","","","",""
"乗用車_普通車 計(両)","8437.0","6881.0","1116.0","2060.0","476.0","443.0","1439.0","814.0"
"乗用車_普通車 自家用(両)","8437.0","6881.0","1114.0","2058.0","476.0","430.0","1439.0","814.0"
"乗用車_普通車 営業用(両)","0.0","0.0","2.0","2.0","0.0","13.0","0.0","0.0"
"","","","","","","","",""
"乗用車_小型車 計(両)","11243.0","9042.0","1707.0","3033.0","775.0","562.0","1933.0","1133.0"
"乗用車_小型車 自家用(両)","11224.0","8995.0","1698.0","3018.0","775.0","559.0","1905.0","1133.0"
"乗用車_小型車 営業用(両)","19.0","47.0","9.0","15.0","0.0","3.0","28.0","0.0"
"","","","","","","","",""
"特殊用途車 計(両)","677.0","319.0","104.0","332.0","24.0","44.0","167.0","102.0"
"特殊用途車 自家用(両)","479.0","286.0","96.0","224.0","24.0","40.0","136.0","80.0"
"特殊用途車 営業用(両)","198.0","33.0","8.0","108.0","0.0","4.0","31.0","22.0"
"","","","","","","","",""
"大型特殊車 計(両)","87.0","20.0","14.0","27.0","13.0","19.0","49.0","36.0"
"大型特殊者_自家用(両)","85.0","20.0","14.0","27.0","13.0","19.0","49.0","36.0"
"大型特殊者_営業用(両)","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","","","","","","","",""
"","","","","","","","",""
"小型二輪車(両)","813.0","736.0","129.0","216.0","61.0","43.0","148.0","71.0"
